
                                  2014

Business_id            | Month |  Actual |  Predicted |  Error %
-------------------------------------------------------------------------
rZbHg4ACfN3iShdsT47WKQ  |  Mar  |  4.704  |  4.000     |  15.0
rZbHg4ACfN3iShdsT47WKQ  |  Feb  |  4.462  |  3.731     |  16.4
rZbHg4ACfN3iShdsT47WKQ  |  Aug  |  4.568  |  3.946     |  13.6
rZbHg4ACfN3iShdsT47WKQ  |  Sep  |  4.381  |  3.476     |  20.7
rZbHg4ACfN3iShdsT47WKQ  |  Apr  |  4.842  |  4.421     |  8.7
rZbHg4ACfN3iShdsT47WKQ  |  Jun  |  4.533  |  3.867     |  14.7
rZbHg4ACfN3iShdsT47WKQ  |  Jul  |  4.435  |  3.957     |  10.8
rZbHg4ACfN3iShdsT47WKQ  |  Jan  |  4.750  |  4.071     |  14.3
rZbHg4ACfN3iShdsT47WKQ  |  May  |  4.211  |  4.263     |  1.3
rZbHg4ACfN3iShdsT47WKQ  |  Nov  |  4.591  |  4.182     |  8.9
rZbHg4ACfN3iShdsT47WKQ  |  Dec  |  4.474  |  3.895     |  12.9
rZbHg4ACfN3iShdsT47WKQ  |  Oct  |  4.667  |  3.923     |  15.9
8buIr1zBCO7OEcAQSZko7w  |  Mar  |  5.000  |  5.000     |  0.0
8buIr1zBCO7OEcAQSZko7w  |  Aug  |  5.000  |  1.000     |  80.0
8buIr1zBCO7OEcAQSZko7w  |  May  |  4.000  |  5.000     |  25.0
8buIr1zBCO7OEcAQSZko7w  |  Jun  |  3.500  |  4.000     |  14.3
8buIr1zBCO7OEcAQSZko7w  |  Jan  |  3.000  |  4.500     |  50.0
8buIr1zBCO7OEcAQSZko7w  |  Dec  |  1.000  |  1.000     |  0.0
jOuERtVf7QePnK9ZcdH5XA  |  Mar  |  3.579  |  3.053     |  14.7
jOuERtVf7QePnK9ZcdH5XA  |  Feb  |  3.579  |  3.526     |  1.5
jOuERtVf7QePnK9ZcdH5XA  |  Aug  |  4.100  |  3.690     |  10.0
jOuERtVf7QePnK9ZcdH5XA  |  Sep  |  4.167  |  3.722     |  10.7
jOuERtVf7QePnK9ZcdH5XA  |  Apr  |  3.812  |  3.875     |  1.6
jOuERtVf7QePnK9ZcdH5XA  |  Jun  |  4.143  |  3.370     |  18.6
jOuERtVf7QePnK9ZcdH5XA  |  Jul  |  4.304  |  4.174     |  3.0
jOuERtVf7QePnK9ZcdH5XA  |  Jan  |  3.929  |  3.679     |  6.4
jOuERtVf7QePnK9ZcdH5XA  |  May  |  3.909  |  3.727     |  4.7
jOuERtVf7QePnK9ZcdH5XA  |  Nov  |  3.913  |  3.783     |  3.3
jOuERtVf7QePnK9ZcdH5XA  |  Dec  |  3.679  |  3.720     |  1.1
jOuERtVf7QePnK9ZcdH5XA  |  Oct  |  4.000  |  3.583     |  10.4
u9wjRhUjySkHPa_hG3kFOg  |  Mar  |  4.211  |  3.737     |  11.3
u9wjRhUjySkHPa_hG3kFOg  |  Feb  |  4.214  |  3.714     |  11.9
u9wjRhUjySkHPa_hG3kFOg  |  Aug  |  3.080  |  3.375     |  9.6
u9wjRhUjySkHPa_hG3kFOg  |  Sep  |  4.200  |  4.200     |  0.0
u9wjRhUjySkHPa_hG3kFOg  |  Apr  |  4.300  |  3.900     |  9.3
u9wjRhUjySkHPa_hG3kFOg  |  Jun  |  3.778  |  3.471     |  8.1
u9wjRhUjySkHPa_hG3kFOg  |  Jul  |  4.231  |  4.154     |  1.8
u9wjRhUjySkHPa_hG3kFOg  |  Jan  |  3.958  |  3.667     |  7.4
u9wjRhUjySkHPa_hG3kFOg  |  May  |  4.600  |  4.533     |  1.4
u9wjRhUjySkHPa_hG3kFOg  |  Nov  |  4.227  |  3.818     |  9.7
u9wjRhUjySkHPa_hG3kFOg  |  Dec  |  4.038  |  3.462     |  14.3
u9wjRhUjySkHPa_hG3kFOg  |  Oct  |  4.312  |  3.812     |  11.6
5paMI5Hhciyl09yGpzdoJw  |  Mar  |  3.727  |  4.000     |  7.3
5paMI5Hhciyl09yGpzdoJw  |  Feb  |  4.600  |  4.500     |  2.2
5paMI5Hhciyl09yGpzdoJw  |  Aug  |  3.850  |  3.000     |  22.1
5paMI5Hhciyl09yGpzdoJw  |  Sep  |  3.667  |  3.000     |  18.2
5paMI5Hhciyl09yGpzdoJw  |  Apr  |  4.111  |  3.833     |  6.8
5paMI5Hhciyl09yGpzdoJw  |  Jun  |  4.429  |  3.786     |  14.5
5paMI5Hhciyl09yGpzdoJw  |  Jul  |  3.781  |  3.290     |  13.0
5paMI5Hhciyl09yGpzdoJw  |  Jan  |  4.455  |  4.000     |  10.2
5paMI5Hhciyl09yGpzdoJw  |  May  |  4.077  |  3.920     |  3.8
5paMI5Hhciyl09yGpzdoJw  |  Nov  |  3.625  |  3.625     |  0.0
5paMI5Hhciyl09yGpzdoJw  |  Dec  |  5.000  |  5.000     |  0.0
5paMI5Hhciyl09yGpzdoJw  |  Oct  |  3.333  |  3.667     |  10.0
SLyacGZuMUKqrQJEooSkjw  |  Mar  |  2.500  |  3.500     |  40.0
SLyacGZuMUKqrQJEooSkjw  |  Feb  |  2.850  |  3.400     |  19.3
SLyacGZuMUKqrQJEooSkjw  |  Aug  |  2.556  |  2.667     |  4.3
SLyacGZuMUKqrQJEooSkjw  |  Sep  |  2.800  |  2.867     |  2.4
SLyacGZuMUKqrQJEooSkjw  |  Apr  |  2.615  |  2.462     |  5.9
SLyacGZuMUKqrQJEooSkjw  |  Jun  |  3.222  |  3.556     |  10.3
SLyacGZuMUKqrQJEooSkjw  |  Jul  |  2.438  |  2.375     |  2.6
SLyacGZuMUKqrQJEooSkjw  |  Jan  |  2.235  |  2.688     |  20.2
SLyacGZuMUKqrQJEooSkjw  |  May  |  3.000  |  3.412     |  13.7
SLyacGZuMUKqrQJEooSkjw  |  Nov  |  3.000  |  2.875     |  4.2
SLyacGZuMUKqrQJEooSkjw  |  Dec  |  3.077  |  3.077     |  0.0
SLyacGZuMUKqrQJEooSkjw  |  Oct  |  2.933  |  2.800     |  4.5
34uJtlPnKicSaX1V8_tu1A  |  Mar  |  3.857  |  3.619     |  6.2
